Time (ms),-100 pA,50 pA,75 pA,100 pA
0.0,-87.20703125,-86.7340087890625,-86.19384765625,-85.5560302734375
0.0333000333000333,-87.2161865234375,-86.7706298828125,-86.187744140625,-85.552978515625
0.0666000666000666,-87.26806640625,-86.7218017578125,-86.187744140625,-85.60791015625
0.09990009990009989,-87.26806640625,-86.7156982421875,-86.236572265625,-85.5682373046875
0.1332001332001332,-87.2314453125,-86.6302490234375,-86.2579345703125,-85.5499267578125
0.16650016650016647,-87.225341796875,-86.669921875,-86.2701416015625,-85.5560302734375
0.19980019980019978,-87.200927734375,-86.7034912109375,-86.2060546875,-85.58349609375
0.2331002331002331,-87.164306640625,-86.7156982421875,-86.1663818359375,-85.662841796875
0.2664002664002664,-87.1795654296875,-86.7156982421875,-86.2274169921875,-85.58349609375
0.29970029970029965,-87.225341796875,-86.663818359375,-86.2335205078125,-85.552978515625
0.33300033300033294,-87.261962890625,-86.651611328125,-86.248779296875,-85.5712890625
0.3663003663003663,-87.2650146484375,-86.6943359375,-86.2152099609375,-85.6109619140625
0.39960039960039956,-87.24365234375,-86.724853515625,-86.199951171875,-85.64453125
0.43290043290043284,-87.1337890625,-86.71875,-86.2548828125,-85.6109619140625
0.4662004662004662,-87.1337890625,-86.688232421875,-86.26708984375,-85.595703125
0.49950049950049946,-87.1307373046875,-86.669921875,-86.1846923828125,-85.64453125
0.5328005328005327,-87.2039794921875,-86.700439453125,-86.187744140625,-85.6353759765625
0.566100566100566,-87.1795654296875,-86.7523193359375,-86.2396240234375,-85.5865478515625
0.5994005994005993,-87.21923828125,-86.712646484375,-86.2274169921875,-85.577392578125
0.6327006327006326,-87.152099609375,-86.700439453125,-86.236572265625,-85.6781005859375
0.6660006660006659,-87.1490478515625,-86.6912841796875,-86.1572265625,-85.6109619140625
0.6993006993006993,-87.152099609375,-86.7431640625,-86.2457275390625,-85.5987548828125
0.7326007326007326,-87.158203125,-86.6790771484375,-86.236572265625,-85.614013671875
0.7659007659007658,-87.1734619140625,-86.6607666015625,-86.199951171875,-85.650634765625
0.7992007992007991,-87.164306640625,-86.6424560546875,-86.2274169921875,-85.5987548828125
0.8325008325008324,-87.255859375,-86.700439453125,-86.2548828125,-85.546875
0.8658008658008657,-87.2314453125,-86.70654296875,-86.2396240234375,-85.6109619140625
0.899100899100899,-87.1917724609375,-86.6729736328125,-86.187744140625,-85.5865478515625
0.9324009324009324,-87.1673583984375,-86.669921875,-86.2579345703125,-85.5377197265625
0.9657009657009656,-87.1429443359375,-86.7218017578125,-86.2548828125,-85.58349609375
0.9990009990009989,-87.1246337890625,-86.688232421875,-86.2091064453125,-85.6231689453125
1.0323010323010322,-87.103271484375,-86.6546630859375,-86.19384765625,-85.6170654296875
1.0656010656010655,-87.1429443359375,-86.688232421875,-86.2884521484375,-85.5712890625
1.0989010989010988,-87.200927734375,-86.712646484375,-86.2640380859375,-85.6414794921875
1.132201132201132,-87.286376953125,-86.6363525390625,-86.2274169921875,-85.6353759765625
1.1655011655011653,-87.2467041015625,-86.676025390625,-86.236572265625,-85.5865478515625
1.1988011988011986,-87.200927734375,-86.6851806640625,-86.279296875,-85.5865478515625
1.232101232101232,-87.0941162109375,-86.6729736328125,-86.26708984375,-85.601806640625
1.2654012654012652,-87.0574951171875,-86.68212890625,-86.2396240234375,-85.565185546875
1.2987012987012985,-87.0635986328125,-86.6851806640625,-86.2518310546875,-85.552978515625
1.3320013320013318,-87.1124267578125,-86.6607666015625,-86.285400390625,-85.6109619140625
1.3653013653013653,-87.176513671875,-86.5936279296875,-86.2213134765625,-85.6170654296875
1.3986013986013985,-87.1734619140625,-86.6241455078125,-86.2884521484375,-85.5621337890625
1.4319014319014318,-87.1337890625,-86.6912841796875,-86.29150390625,-85.5438232421875
1.465201465201465,-87.1551513671875,-86.639404296875,-86.24267578125,-85.5926513671875
1.4985014985014984,-87.1337890625,-86.6241455078125,-86.2335205078125,-85.5743408203125
1.5318015318015317,-87.139892578125,-86.676025390625,-86.2396240234375,-85.565185546875
1.565101565101565,-87.17041015625,-86.6668701171875,-86.2701416015625,-85.614013671875
1.5984015984015982,-87.1551513671875,-86.651611328125,-86.2518310546875,-85.64453125
1.6317016317016315,-87.1185302734375,-86.6363525390625,-86.2152099609375,-85.601806640625
1.6650016650016648,-87.1002197265625,-86.669921875,-86.3128662109375,-85.55908203125
1.698301698301698,-87.103271484375,-86.7095947265625,-86.285400390625,-85.6048583984375
1.7316017316017314,-87.109375,-86.6424560546875,-86.2579345703125,-85.6048583984375
1.7649017649017646,-87.1856689453125,-86.651611328125,-86.2152099609375,-85.6170654296875
1.798201798201798,-87.1856689453125,-86.688232421875,-86.279296875,-85.546875
1.8315018315018312,-87.17041015625,-86.6912841796875,-86.2548828125,-85.6048583984375
1.8648018648018647,-87.0880126953125,-86.6485595703125,-86.2060546875,-85.595703125
