Time (ms),-200 pA,100 pA,125 pA,150 pA
0.0,-84.429931640625,-84.5855712890625,-84.4879150390625,-84.234619140625
0.0333000333000333,-84.6466064453125,-84.503173828125,-84.4696044921875,-84.21630859375
0.0666000666000666,-84.637451171875,-84.5428466796875,-84.521484375,-84.2132568359375
0.09990009990009989,-84.5184326171875,-84.5733642578125,-84.5703125,-84.2376708984375
0.1332001332001332,-84.4482421875,-84.5855712890625,-84.5367431640625,-84.2498779296875
0.16650016650016647,-84.3658447265625,-84.55810546875,-84.5184326171875,-84.2742919921875
0.19980019980019978,-84.3048095703125,-84.5947265625,-84.5062255859375,-84.2987060546875
0.2331002331002331,-84.283447265625,-84.55810546875,-84.5062255859375,-84.2864990234375
0.2664002664002664,-84.2010498046875,-84.503173828125,-84.4696044921875,-84.24072265625
0.29970029970029965,-84.2559814453125,-84.5184326171875,-84.48486328125,-84.2315673828125
0.33300033300033294,-84.3017578125,-84.5855712890625,-84.5001220703125,-84.1827392578125
0.3663003663003663,-84.4146728515625,-84.5855712890625,-84.5550537109375,-84.185791015625
0.39960039960039956,-84.4085693359375,-84.6160888671875,-84.5794677734375,-84.26513671875
0.43290043290043284,-84.454345703125,-84.576416015625,-84.5855712890625,-84.2620849609375
0.4662004662004662,-84.503173828125,-84.55810546875,-84.5947265625,-84.2926025390625
0.49950049950049946,-84.552001953125,-84.564208984375,-84.503173828125,-84.368896484375
0.5328005328005327,-84.55810546875,-84.53369140625,-84.490966796875,-84.31396484375
0.566100566100566,-84.4268798828125,-84.55810546875,-84.4329833984375,-84.2529296875
0.5994005994005993,-84.3170166015625,-84.4940185546875,-84.478759765625,-84.2559814453125
0.6327006327006326,-84.2620849609375,-84.5245361328125,-84.5245361328125,-84.228515625
0.6660006660006659,-84.3505859375,-84.55810546875,-84.5977783203125,-84.1796875
0.6993006993006993,-84.344482421875,-84.5733642578125,-84.539794921875,-84.210205078125
0.7326007326007326,-84.36279296875,-84.600830078125,-84.5489501953125,-84.2864990234375
0.7659007659007658,-84.344482421875,-84.625244140625,-84.5123291015625,-84.3292236328125
0.7992007992007991,-84.3719482421875,-84.58251953125,-84.53369140625,-84.3109130859375
0.8325008325008324,-84.43603515625,-84.564208984375,-84.5001220703125,-84.283447265625
0.8658008658008657,-84.5062255859375,-84.527587890625,-84.5245361328125,-84.271240234375
0.899100899100899,-84.5001220703125,-84.5916748046875,-84.5489501953125,-84.228515625
0.9324009324009324,-84.381103515625,-84.5977783203125,-84.5672607421875,-84.222412109375
0.9657009657009656,-84.4085693359375,-84.5855712890625,-84.5733642578125,-84.2987060546875
0.9990009990009989,-84.4024658203125,-84.5428466796875,-84.5489501953125,-84.3292236328125
1.0323010323010322,-84.4329833984375,-84.4940185546875,-84.539794921875,-84.3292236328125
1.0656010656010655,-84.4085693359375,-84.521484375,-84.552001953125,-84.307861328125
1.0989010989010988,-84.356689453125,-84.6038818359375,-84.5489501953125,-84.2742919921875
1.132201132201132,-84.368896484375,-84.60693359375,-84.588623046875,-84.320068359375
1.1655011655011653,-84.381103515625,-84.552001953125,-84.515380859375,-84.33837890625
