Time (ms),-200 pA,100 pA,125 pA,150 pA
0.0,-80.7525634765625,-81.072998046875,-81.0028076171875,-80.7403564453125
0.0333000333000333,-80.731201171875,-81.060791015625,-80.96923828125,-80.743408203125
0.0666000666000666,-80.7342529296875,-81.06689453125,-80.9539794921875,-80.82275390625
0.09990009990009989,-80.7769775390625,-81.0211181640625,-80.975341796875,-80.79833984375
0.1332001332001332,-80.8197021484375,-81.024169921875,-80.9814453125,-80.7037353515625
0.16650016650016647,-80.8990478515625,-80.926513671875,-81.005859375,-80.731201171875
0.19980019980019978,-80.8685302734375,-80.9539794921875,-81.0577392578125,-80.7342529296875
0.2331002331002331,-80.8685302734375,-80.95703125,-81.0516357421875,-80.7464599609375
0.2664002664002664,-80.8013916015625,-81.0516357421875,-81.0028076171875,-80.816650390625
0.29970029970029965,-80.76171875,-81.085205078125,-80.963134765625,-80.8502197265625
0.33300033300033294,-80.743408203125,-81.0546875,-80.9814453125,-80.8258056640625
0.3663003663003663,-80.816650390625,-81.0333251953125,-80.963134765625,-80.780029296875
0.39960039960039956,-80.8868408203125,-80.987548828125,-81.0455322265625,-80.7403564453125
0.43290043290043284,-80.8990478515625,-80.950927734375,-81.0455322265625,-80.8135986328125
0.4662004662004662,-80.889892578125,-80.9722900390625,-81.060791015625,-80.810546875
0.49950049950049946,-80.755615234375,-81.0211181640625,-81.0211181640625,-80.8685302734375
0.5328005328005327,-80.767822265625,-81.0882568359375,-80.987548828125,-80.8502197265625
0.566100566100566,-80.7525634765625,-81.0699462890625,-80.950927734375,-80.8135986328125
0.5994005994005993,-80.841064453125,-81.072998046875,-80.963134765625,-80.7647705078125
0.6327006327006326,-80.9356689453125,-81.011962890625,-80.9783935546875,-80.718994140625
0.6660006660006659,-80.841064453125,-80.9661865234375,-81.060791015625,-80.74951171875
0.6993006993006993,-80.7891845703125,-80.9844970703125,-81.0333251953125,-80.79833984375
0.7326007326007326,-80.816650390625,-80.94482421875,-81.048583984375,-80.9051513671875
0.7659007659007658,-80.87158203125,-81.024169921875,-80.926513671875,-80.8502197265625
0.7992007992007991,-80.9417724609375,-81.0577392578125,-80.938720703125,-80.7952880859375
0.8325008325008324,-80.84716796875,-81.109619140625,-80.9600830078125,-80.780029296875
0.8658008658008657,-80.8319091796875,-81.0791015625,-80.95703125,-80.7220458984375
0.899100899100899,-80.79833984375,-81.0760498046875,-81.0302734375,-80.7830810546875
0.9324009324009324,-80.8563232421875,-81.0333251953125,-81.048583984375,-80.8135986328125
0.9657009657009656,-80.8013916015625,-80.999755859375,-81.048583984375,-80.8319091796875
