Time (ms),-200 pA,100 pA,125 pA,150 pA
0.0,-84.881591796875,-84.9090576171875,-84.991455078125,-84.8541259765625
0.0333000333000333,-84.9334716796875,-84.8785400390625,-84.94873046875,-84.820556640625
0.0666000666000666,-84.9090576171875,-84.857177734375,-84.8876953125,-84.844970703125
0.09990009990009989,-84.9334716796875,-84.881591796875,-84.8846435546875,-84.906005859375
0.1332001332001332,-84.9395751953125,-84.954833984375,-84.8968505859375,-84.9517822265625
0.16650016650016647,-84.99755859375,-84.94873046875,-84.9334716796875,-84.8876953125
0.19980019980019978,-84.9578857421875,-84.9365234375,-84.9456787109375,-84.86328125
0.2331002331002331,-84.8724365234375,-84.9029541015625,-84.9151611328125,-84.7991943359375
0.2664002664002664,-84.8236083984375,-84.912109375,-84.89990234375,-84.85107421875
0.29970029970029965,-84.8114013671875,-84.9395751953125,-84.832763671875,-84.9365234375
0.33300033300033294,-84.8968505859375,-84.9700927734375,-84.8968505859375,-84.9365234375
0.3663003663003663,-84.8968505859375,-84.9639892578125,-84.9395751953125,-84.906005859375
0.39960039960039956,-84.9090576171875,-84.9365234375,-84.9639892578125,-84.8785400390625
0.43290043290043284,-84.832763671875,-84.9029541015625,-84.881591796875,-84.8724365234375
0.4662004662004662,-84.8785400390625,-84.8968505859375,-84.8358154296875,-84.86328125
0.49950049950049946,-84.906005859375,-84.912109375,-84.844970703125,-84.8724365234375
0.5328005328005327,-84.967041015625,-84.9761962890625,-84.8846435546875,-84.9334716796875
0.566100566100566,-84.9822998046875,-84.967041015625,-84.942626953125,-84.94873046875
0.5994005994005993,-84.8785400390625,-84.9609375,-84.942626953125,-84.8968505859375
0.6327006327006326,-84.8480224609375,-84.9090576171875,-84.9212646484375,-84.881591796875
0.6660006660006659,-84.8175048828125,-84.87548828125,-84.8876953125,-84.8358154296875
0.6993006993006993,-84.9090576171875,-84.89990234375,-84.8602294921875,-84.814453125
0.7326007326007326,-84.9273681640625,-84.9853515625,-84.8846435546875,-84.8419189453125
0.7659007659007658,-84.918212890625,-84.97314453125,-84.906005859375,-84.86328125
0.7992007992007991,-84.893798828125,-84.9700927734375,-84.9334716796875,-84.87548828125
0.8325008325008324,-84.832763671875,-84.8876953125,-84.9212646484375,-84.8480224609375
0.8658008658008657,-84.8907470703125,-84.86328125,-84.912109375,-84.8297119140625
0.899100899100899,-84.9456787109375,-84.8968505859375,-84.8663330078125,-84.783935546875
0.9324009324009324,-84.930419921875,-84.9365234375,-84.8876953125,-84.8419189453125
0.9657009657009656,-84.918212890625,-84.967041015625,-84.8968505859375,-84.87548828125
0.9990009990009989,-84.8480224609375,-84.979248046875,-84.9212646484375,-84.942626953125
1.0323010323010322,-84.844970703125,-84.9395751953125,-84.967041015625,-84.94873046875
1.0656010656010655,-84.869384765625,-84.8907470703125,-84.9334716796875,-84.89990234375
1.0989010989010988,-84.930419921875,-84.8724365234375,-84.869384765625,-84.8358154296875
1.132201132201132,-84.9395751953125,-84.92431640625,-84.844970703125,-84.7564697265625
1.1655011655011653,-84.9029541015625,-84.94873046875,-84.8663330078125,-84.7747802734375
1.1988011988011986,-84.86328125,-84.9609375,-84.8785400390625,-84.80224609375
1.232101232101232,-84.832763671875,-84.9609375,-84.930419921875,-84.881591796875
1.2654012654012652,-84.8785400390625,-84.8876953125,-84.9639892578125,-84.8907470703125
1.2987012987012985,-84.893798828125,-84.8602294921875,-84.954833984375,-84.9090576171875
1.3320013320013318,-84.9334716796875,-84.8907470703125,-84.89990234375,-84.8602294921875
1.3653013653013653,-84.893798828125,-84.942626953125,-84.86328125,-84.820556640625
1.3986013986013985,-84.8297119140625,-84.9578857421875,-84.906005859375,-84.8388671875
1.4319014319014318,-84.808349609375,-84.9578857421875,-84.912109375,-84.85107421875
1.465201465201465,-84.8297119140625,-84.89990234375,-84.9578857421875,-84.9029541015625
1.4985014985014984,-84.9334716796875,-84.87548828125,-84.930419921875,-84.912109375
1.5318015318015317,-84.92431640625,-84.906005859375,-84.906005859375,-84.918212890625
1.565101565101565,-84.9212646484375,-84.9334716796875,-84.881591796875,-84.881591796875
1.5984015984015982,-84.857177734375,-85.009765625,-84.857177734375,-84.7808837890625
1.6317016317016315,-84.8785400390625,-84.99755859375,-84.8846435546875,-84.820556640625
1.6650016650016648,-84.8663330078125,-84.9517822265625,-84.9456787109375,-84.8602294921875
1.698301698301698,-84.9334716796875,-84.92431640625,-84.954833984375,-84.906005859375
1.7316017316017314,-84.9517822265625,-84.9029541015625,-84.9639892578125,-84.9578857421875
1.7649017649017646,-84.9456787109375,-84.906005859375,-84.9395751953125,-84.9273681640625
1.798201798201798,-84.881591796875,-84.94873046875,-84.893798828125,-84.87548828125
1.8315018315018312,-84.814453125,-84.9761962890625,-84.8419189453125,-84.8388671875
1.8648018648018647,-84.8480224609375,-84.979248046875,-84.8541259765625,-84.8114013671875
1.898101898101898,-84.869384765625,-85.009765625,-84.87548828125,-84.8388671875
1.9314019314019313,-84.9365234375,-84.9212646484375,-84.92431640625,-84.881591796875
1.9647019647019646,-84.9334716796875,-84.912109375,-84.9151611328125,-84.9273681640625
1.9980019980019978,-84.87548828125,-84.8907470703125,-84.8876953125,-84.918212890625
2.031302031302031,-84.8480224609375,-84.94873046875,-84.8907470703125,-84.9395751953125
2.0646020646020644,-84.8388671875,-84.9884033203125,-84.832763671875,-84.8297119140625
2.0979020979020975,-84.86328125,-84.9639892578125,-84.8724365234375,-84.857177734375
2.131202131202131,-84.89990234375,-84.9365234375,-84.8846435546875,-84.832763671875
2.1645021645021645,-84.9334716796875,-84.8785400390625,-84.930419921875,-84.857177734375
2.1978021978021975,-84.9273681640625,-84.8846435546875,-84.9639892578125,-84.8968505859375
2.231102231102231,-84.8785400390625,-84.8968505859375,-84.9456787109375,-84.87548828125
2.264402264402264,-84.8114013671875,-84.92431640625,-84.906005859375,-84.8876953125
2.2977022977022976,-84.8297119140625,-84.9700927734375,-84.820556640625,-84.8358154296875
2.3310023310023307,-84.8541259765625,-84.9761962890625,-84.820556640625,-84.796142578125
2.364302364302364,-84.9212646484375,-84.9151611328125,-84.85107421875,-84.75341796875
2.3976023976023972,-84.92431640625,-84.8480224609375,-84.912109375,-84.7747802734375
2.4309024309024307,-84.8968505859375,-84.8663330078125,-84.9151611328125,-84.7930908203125
2.464202464202464,-84.87548828125,-84.86328125,-84.9456787109375,-84.8480224609375
2.4975024975024973,-84.8541259765625,-84.9395751953125,-84.9151611328125,-84.8846435546875
2.5308025308025304,-84.893798828125,-84.94873046875,-84.869384765625,-84.8876953125
2.564102564102564,-84.9273681640625,-84.97314453125,-84.8388671875,-84.8785400390625
2.597402597402597,-84.9517822265625,-84.930419921875,-84.820556640625,-84.7900390625
2.6307026307026304,-84.893798828125,-84.85107421875,-84.82666015625,-84.7747802734375
2.6640026640026635,-84.8663330078125,-84.844970703125,-84.8876953125,-84.783935546875
2.697302697302697,-84.7991943359375,-84.8388671875,-84.89990234375,-84.832763671875
2.7306027306027305,-84.796142578125,-84.869384765625,-84.8968505859375,-84.8388671875
2.7639027639027636,-84.8480224609375,-84.9212646484375,-84.8876953125,-84.89990234375
2.797202797202797,-84.92431640625,-84.9365234375,-84.8602294921875,-84.912109375
2.83050283050283,-84.9273681640625,-84.918212890625,-84.8297119140625,-84.8785400390625
2.8638028638028636,-84.9334716796875,-84.8602294921875,-84.808349609375,-84.844970703125
2.8971028971028967,-84.8602294921875,-84.8358154296875,-84.85107421875,-84.814453125
2.93040293040293,-84.8480224609375,-84.808349609375,-84.89990234375,-84.796142578125
2.9637029637029633,-84.80224609375,-84.86328125,-84.9395751953125,-84.8114013671875
2.9970029970029968,-84.857177734375,-84.8724365234375,-84.918212890625,-84.8114013671875
3.03030303030303,-84.9090576171875,-84.9365234375,-84.9090576171875,-84.857177734375
3.0636030636030633,-84.92431640625,-84.9151611328125,-84.8602294921875,-84.881591796875
3.0969030969030964,-84.8968505859375,-84.893798828125,-84.8297119140625,-84.89990234375
3.13020313020313,-84.82666015625,-84.881591796875,-84.8541259765625,-84.8846435546875
3.163503163503163,-84.8358154296875,-84.8602294921875,-84.844970703125,-84.8541259765625
3.1968031968031965,-84.85107421875,-84.8846435546875,-84.912109375,-84.808349609375
3.23010323010323,-84.857177734375,-84.8907470703125,-84.9456787109375,-84.765625
3.263403263403263,-84.906005859375,-84.9365234375,-84.9395751953125,-84.80224609375
3.2967032967032965,-84.8968505859375,-84.930419921875,-84.92431640625,-84.8388671875
3.3300033300033296,-84.893798828125,-84.9578857421875,-84.918212890625,-84.8846435546875
3.363303363303363,-84.8724365234375,-84.942626953125,-84.8602294921875,-84.9029541015625
3.396603396603396,-84.8236083984375,-84.9151611328125,-84.8297119140625,-84.89990234375
3.4299034299034297,-84.808349609375,-84.8663330078125,-84.832763671875,-84.9090576171875
3.4632034632034627,-84.82666015625,-84.881591796875,-84.869384765625,-84.8663330078125
3.4965034965034962,-84.8663330078125,-84.8358154296875,-84.881591796875,-84.8175048828125
3.5298035298035293,-84.8968505859375,-84.893798828125,-84.9151611328125,-84.820556640625
3.563103563103563,-84.8968505859375,-84.9517822265625,-84.8876953125,-84.7900390625
3.596403596403596,-84.8968505859375,-84.9639892578125,-84.8724365234375,-84.75341796875
3.6297036297036294,-84.8480224609375,-84.89990234375,-84.832763671875,-84.8114013671875
3.6630036630036624,-84.8388671875,-84.9151611328125,-84.8236083984375,-84.857177734375
3.696303696303696,-84.8602294921875,-84.8724365234375,-84.796142578125,-84.8602294921875
3.7296037296037294,-84.8876953125,-84.85107421875,-84.820556640625,-84.8602294921875
3.7629037629037625,-84.8846435546875,-84.844970703125,-84.8419189453125,-84.7991943359375
3.796203796203796,-84.9639892578125,-84.8785400390625,-84.9029541015625,-84.765625
3.829503829503829,-84.9365234375,-84.912109375,-84.893798828125,-84.710693359375
3.8628038628038626,-84.9090576171875,-84.9395751953125,-84.9090576171875,-84.75341796875
3.8961038961038956,-84.832763671875,-84.942626953125,-84.89990234375,-84.7625732421875
3.929403929403929,-84.814453125,-84.912109375,-84.85107421875,-84.7869873046875
3.962703962703962,-84.86328125,-84.8541259765625,-84.8480224609375,-84.85107421875
3.9960039960039957,-84.8541259765625,-84.869384765625,-84.7991943359375,-84.9090576171875
4.029304029304029,-84.9273681640625,-84.8541259765625,-84.8297119140625,-84.8846435546875
4.062604062604062,-84.918212890625,-84.857177734375,-84.8602294921875,-84.8785400390625
4.095904095904095,-84.9029541015625,-84.8724365234375,-84.8907470703125,-84.82666015625
4.129204129204129,-84.9151611328125,-84.9029541015625,-84.87548828125,-84.8052978515625
4.162504162504162,-84.8297119140625,-84.979248046875,-84.8876953125,-84.735107421875
4.195804195804195,-84.832763671875,-84.9395751953125,-84.869384765625,-84.75341796875
4.2291042291042285,-84.8114013671875,-84.918212890625,-84.9029541015625,-84.7747802734375
4.262404262404262,-84.8236083984375,-84.8876953125,-84.9029541015625,-84.77783203125
4.2957042957042955,-84.906005859375,-84.82666015625,-84.912109375,-84.8236083984375
4.329004329004329,-84.89990234375,-84.8419189453125,-84.8968505859375,-84.8785400390625
4.362304362304362,-84.8663330078125,-84.820556640625,-84.8541259765625,-84.9212646484375
4.395604395604395,-84.8236083984375,-84.85107421875,-84.869384765625,-84.881591796875
4.428904428904429,-84.8052978515625,-84.86328125,-84.7900390625,-84.893798828125
4.462204462204462,-84.7900390625,-84.912109375,-84.82666015625,-84.8388671875
4.495504495504495,-84.7991943359375,-84.89990234375,-84.8602294921875,-84.7991943359375
4.528804528804528,-84.8388671875,-84.9365234375,-84.9090576171875,-84.814453125
4.562104562104562,-84.8663330078125,-84.9456787109375,-84.893798828125,-84.8876953125
